,accuracy,accuracies,permutation_specific_accuracies,best_ordering,sigma
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'},)",58.65384615384615,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615]","[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615]","[{'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}]",-0.6
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'},)",74.03846153846155,"[74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155]","[74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155]","[{'type': 'BOS', 'name': 'KNeighborsClassifier()'}]",-0.6
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'},)",83.65384615384616,"[83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]","[83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]","[{'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}]",-0.6
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'},)",84.61538461538461,"[84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461]","[84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461]","[{'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}]",-0.6
"({'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'},)",59.61538461538461,"[59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461]","[59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461]","[{'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}]",-0.6
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",80.76923076923077,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 75.0, 77.88461538461539, 78.84615384615384, 78.84615384615384, 79.8076923076923, 77.88461538461539, 78.84615384615384, 59.61538461538461, 61.53846153846154, 78.84615384615384, 78.84615384615384, 78.84615384615384, 78.84615384615384, 80.76923076923077, 79.8076923076923, 78.84615384615384]","[74.03846153846155, 74.03846153846155, 75.0, 77.88461538461539, 78.84615384615384, 78.84615384615384, 79.8076923076923, 77.88461538461539, 78.84615384615384]","[{'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}]",0.6000000000000002
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",83.65384615384616,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 83.65384615384616, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539, 58.65384615384615, 58.65384615384615, 82.6923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077]","[83.65384615384616, 83.65384615384616, 82.6923076923077, 83.65384615384616, 82.6923076923077, 83.65384615384616, 80.76923076923077, 78.84615384615384, 77.88461538461539]","[{'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}]",-0.6
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",84.61538461538461,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 84.61538461538461, 83.65384615384616, 83.65384615384616, 84.61538461538461, 82.6923076923077, 82.6923076923077, 79.8076923076923, 78.84615384615384, 77.88461538461539, 58.65384615384615, 57.692307692307686, 67.3076923076923, 75.0, 77.88461538461539, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923]","[84.61538461538461, 83.65384615384616, 83.65384615384616, 84.61538461538461, 82.6923076923077, 82.6923076923077, 79.8076923076923, 78.84615384615384, 77.88461538461539]","[{'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}]",-0.6
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",70.1923076923077,"[58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 58.65384615384615, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 59.61538461538461, 62.5, 66.34615384615384, 69.23076923076923, 70.1923076923077, 69.23076923076923, 68.26923076923077, 70.1923076923077, 58.65384615384615, 57.692307692307686, 62.5, 63.46153846153846, 64.42307692307693, 64.42307692307693, 64.42307692307693, 68.26923076923077, 68.26923076923077]","[59.61538461538461, 59.61538461538461, 62.5, 66.34615384615384, 69.23076923076923, 70.1923076923077, 69.23076923076923, 68.26923076923077, 70.1923076923077]","[{'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}]",0.4
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",85.57692307692307,"[74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 74.03846153846155, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845, 74.03846153846155, 74.03846153846155, 85.57692307692307, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]","[83.65384615384616, 83.65384615384616, 82.6923076923077, 82.6923076923077, 82.6923076923077, 82.6923076923077, 80.76923076923077, 76.92307692307693, 75.96153846153845]","[{'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}]",-0.19999999999999996
