,accuracy,permutation_specific_accuracies,accuracies,best_ordering,sigma
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'},)",[],"[50.98039215686274, 50.98039215686274, 50.98039215686274, 50.98039215686274, 50.98039215686274, 50.98039215686274, 50.98039215686274, 50.98039215686274, 50.98039215686274]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'},)",[],"[59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'},)",[],"[66.01307189542483, 66.01307189542483, 66.01307189542483, 66.01307189542483, 66.01307189542483, 66.01307189542483, 66.01307189542483, 66.01307189542483, 66.01307189542483]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'},)",[],"[59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745]",,,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'},)",[],"[63.39869281045751, 63.39869281045751, 63.39869281045751, 63.39869281045751, 63.39869281045751, 63.39869281045751, 63.39869281045751, 63.39869281045751, 63.39869281045751]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",[],"[59.80392156862745, 59.80392156862745, 59.80392156862745, 59.80392156862745, 60.45751633986928, 60.78431372549019, 61.111111111111114, 61.76470588235294, 59.80392156862745]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",[],"[66.66666666666666, 66.33986928104575, 66.01307189542483, 65.0326797385621, 62.091503267973856, 61.76470588235294, 60.78431372549019, 60.78431372549019, 56.5359477124183]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",[],"[59.80392156862745, 60.130718954248366, 60.45751633986928, 59.80392156862745, 59.80392156862745, 59.150326797385624, 59.47712418300654, 59.150326797385624, 56.86274509803921]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.39869281045751, 63.0718954248366, 63.0718954248366, 63.0718954248366, 62.745098039215684, 62.41830065359477, 61.43790849673203, 61.43790849673203, 58.496732026143796]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",[],"[66.01307189542483, 62.745098039215684, 64.70588235294117, 64.70588235294117, 64.70588235294117, 64.70588235294117, 64.70588235294117, 64.70588235294117, 66.99346405228758]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",[],"[59.80392156862745, 59.47712418300654, 61.76470588235294, 61.76470588235294, 61.76470588235294, 61.76470588235294, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.39869281045751, 62.745098039215684, 62.745098039215684, 62.745098039215684, 62.745098039215684, 62.745098039215684, 62.745098039215684, 62.745098039215684, 62.091503267973856]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",[],"[59.80392156862745, 60.78431372549019, 74.18300653594771, 75.49019607843137, 76.79738562091504, 76.79738562091504, 76.1437908496732, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.0718954248366, 64.37908496732027, 76.47058823529412, 77.12418300653596, 77.45098039215686, 77.45098039215686, 76.47058823529412, 75.81699346405229, 76.1437908496732]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.39869281045751, 63.39869281045751, 61.43790849673203, 61.43790849673203, 61.111111111111114, 61.43790849673203, 61.76470588235294, 61.76470588235294, 61.76470588235294]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",[],"[65.68627450980392, 63.39869281045751, 63.0718954248366, 61.76470588235294, 62.091503267973856, 62.41830065359477, 63.725490196078425, 64.70588235294117, 60.130718954248366]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",[],"[59.47712418300654, 60.78431372549019, 61.76470588235294, 60.78431372549019, 61.76470588235294, 61.43790849673203, 61.76470588235294, 63.725490196078425, 59.80392156862745]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.39869281045751, 62.41830065359477, 61.76470588235294, 60.78431372549019, 60.45751633986928, 60.78431372549019, 61.43790849673203, 63.39869281045751, 59.80392156862745]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",[],"[59.80392156862745, 61.111111111111114, 74.83660130718954, 74.83660130718954, 71.56862745098039, 70.58823529411765, 66.66666666666666, 64.37908496732027, 58.496732026143796]",,,
"({'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",[],"[63.0718954248366, 64.37908496732027, 75.16339869281046, 74.18300653594771, 70.58823529411765, 68.95424836601308, 65.359477124183, 63.725490196078425, 58.16993464052288]",,,
